Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
242,EM0118,이마트몰,크레스만 소떼른,"가든5점, 가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동해점, 마산점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진주점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 포천점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",44800,화이트,프랑스,세미용,소비뇽블랑,무스카델,3,5,,"D02, F02, G01, G02"
243,SG0134,신세계백화점,"도멘 자우메, 비네아 나뚜라","강남점, 경기점",79000,레드,프랑스,그르나슈,쉬라즈,,3,1,0,"B02, E03, F01"
244,SG0135,신세계백화점,"마이펫, 모나스트렐 로제","강남점, 경기점",25000,화이트,스페인,모나스트렐,0,0,3,1,0,"F04, A01, B02, F03"
245,EM0119,이마트몰,에스트렐라그랑리저브까버네,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서산점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",13800,레드,칠레,까베르네쇼비뇽,0,0,3,2,,"B01, E01, F02"
246,SG0136,신세계백화점,샤또 몽페라 화이트 2015,"강남점, 광주점, 마산점",40000,화이트,프랑스,소비뇽블랑,세미용,0,3,1,,"B02, B03, F04, F02"
247,SG0137,신세계백화점,운두라가 테루아 헌터 까베르네쇼비뇽,본점,30000,레드,칠레,까베르네쇼비뇽,0,0,3,1,,"B01, E01, A01, E03"
248,EM0120,이마트몰,우마니론끼 펠라고,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",108000,레드,이탈리아,몬테풀치아노,까베르네소비뇽,메를로,2,1,,"C01, E04, E03, F01"
249,EM0121,이마트몰,또스띠 레드 아모레,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",18000,레드,이탈리아,브라께또,0,0,1,5,,"E04, F02"
250,SG0138,신세계백화점,킴 크로포드 라이즈 앤 샤인 피노 누아 750ML,"강남점, 경기점, 센텀시티점, 대구점",99000,레드,뉴질랜드,피노누아,0,0,3,1,,"C02, D01, G01"
251,SG0139,신세계백화점,"샤토 마이에, 샤토 뷰 샹트카유","강남점, 경기점",112000,레드,프랑스,메를로,까베르네프랑,0,3,1,0,"C01, F01, E03"
